Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Dharmasraya,0.000,0.151,1.645,0.319,0.799,-,3.435,0.156,0.314,0.267,0.512,0.084,0.723,0.062,0.050,0.447,0.444,0.100,0.745,0.041,0.204,1.462,0.011,0.170,0.195,0.089,0.157,0.494,0.181,0.401,0.271,0.358,0.004
Pasaman Barat,0.000,0.277,1.597,0.342,0.821,-,3.178,0.098,0.221,0.211,0.198,0.167,0.778,0.044,0.053,0.330,0.199,0.054,0.457,0.049,0.064,0.266,0.006,0.054,0.016,0.064,0.167,0.154,0.245,0.672,0.142,0.127,0.000
Kota Padang,0.000,0.612,1.595,0.441,0.957,-,3.122,0.208,0.265,0.892,0.770,0.062,1.793,0.146,0.047,0.416,0.415,0.093,0.560,0.179,0.435,0.585,0.027,0.136,0.297,0.229,0.438,0.414,0.157,1.025,0.317,0.405,0.003
Kota Solok,0.000,0.708,0.338,0.889,1.294,-,3.995,0.138,0.105,0.720,0.464,0.067,1.247,0.066,0.077,0.158,0.345,0.034,1.528,0.075,0.222,1.020,0.033,0.091,0.291,0.112,0.331,0.172,0.067,0.487,0.222,0.170,0.000
Kota Sawah Lunto,0.000,0.243,1.452,0.402,0.798,-,3.814,0.118,0.159,0.616,0.444,0.059,0.864,0.062,0.036,0.332,0.312,0.046,0.409,0.013,0.123,0.884,0.015,0.078,0.113,0.117,0.370,0.281,0.101,0.515,0.211,0.053,0.001
Kota Padang Panjang,0.000,0.953,1.401,0.729,1.198,-,3.936,0.176,0.201,0.815,0.371,0.140,1.006,0.111,0.037,0.266,0.266,0.126,0.982,0.128,0.338,0.659,0.036,0.101,0.263,0.231,0.260,0.319,0.186,0.740,0.319,0.174,0.000
Kota Bukittinggi,0.000,1.202,1.836,0.643,1.972,-,4.185,0.245,0.206,1.068,0.523,0.153,1.049,0.187,0.089,0.202,0.380,0.100,1.113,0.226,0.437,0.737,0.057,0.096,0.571,0.162,0.401,0.356,0.188,0.813,0.286,0.196,0.000
Kota Payakumbuh,0.000,0.776,1.624,0.409,1.708,-,3.982,0.370,0.192,0.987,0.997,0.061,1.230,0.191,0.130,0.229,0.454,0.038,0.417,0.325,0.474,1.809,0.050,0.059,0.124,0.125,0.236,0.375,0.405,1.112,0.315,0.175,0.000
Kota Pariaman,0.000,0.420,1.655,0.487,1.122,-,3.436,0.331,0.453,0.222,0.561,0.591,1.907,0.129,0.057,0.312,0.308,0.067,0.592,0.530,0.519,0.682,0.039,0.280,0.223,0.247,0.280,0.369,0.279,0.917,0.299,0.175,0.000
Kuantan Singingi,0.000,0.319,1.383,0.367,1.103,-,2.927,0.056,0.063,0.311,0.268,0.049,0.712,0.103,0.020,0.343,0.299,0.062,0.788,0.027,0.079,1.121,0.009,0.158,0.104,0.038,0.218,0.297,0.317,0.671,0.227,0.139,0.007
Indragiri Hulu,0.000,0.138,0.876,0.183,1.353,-,3.069,0.022,0.065,0.425,0.147,0.051,0.710,0.106,0.053,0.240,0.313,0.030,0.636,0.038,0.082,1.414,0.013,0.123,0.147,0.043,0.290,0.195,0.161,0.632,0.206,0.276,0.003
