Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Purbalingga,0.000,0.122,0.672,0.431,1.560,-,2.201,0.089,0.126,0.785,0.056,0.146,0.020,0.102,0.310,0.065,0.428,0.023,0.426,0.047,0.289,0.702,0.082,0.357,0.196,0.056,0.041,0.098,0.113,0.684,0.229,0.169,0.001
Banjarnegara,0.000,0.230,0.804,0.448,1.094,-,3.920,0.166,0.063,0.834,0.071,0.548,0.022,0.055,0.391,0.065,0.457,0.040,0.675,0.063,0.308,0.659,0.073,0.270,0.353,0.028,0.037,0.106,0.096,0.953,0.253,0.097,-
Kebumen,0.000,0.195,1.022,0.476,1.472,-,2.218,0.097,0.093,0.854,0.045,0.222,0.041,0.071,0.385,0.044,0.348,0.029,0.635,0.080,0.319,0.345,0.063,0.343,0.422,0.081,0.085,0.277,0.080,1.302,0.199,0.553,0.000
Purworejo,0.000,0.123,1.208,0.697,1.691,-,2.496,0.099,0.115,0.580,0.026,0.303,0.032,0.129,0.436,0.040,0.322,0.039,0.584,0.111,0.326,0.334,0.068,0.284,0.241,0.077,0.049,0.173,0.051,1.249,0.171,0.322,-
Wonosobo,0.000,0.208,0.893,0.337,1.421,-,5.209,0.082,0.018,0.650,0.047,0.531,0.015,0.087,0.302,0.079,0.549,0.026,0.515,0.073,0.556,0.786,0.027,0.348,0.569,0.064,0.012,0.156,0.155,1.310,0.257,0.120,-
Magelang,0.000,0.174,0.946,0.327,1.677,-,4.286,0.069,0.054,0.777,0.089,0.236,0.018,0.155,0.352,0.065,0.518,0.056,0.553,0.093,0.301,0.596,0.042,0.147,0.382,0.062,0.031,0.133,0.146,1.346,0.199,0.116,0.002
Boyolali,0.000,0.128,0.722,0.363,0.689,-,3.297,0.061,0.075,0.726,0.092,0.317,0.075,0.338,0.359,0.054,0.489,0.015,0.603,0.069,0.254,0.395,0.152,0.388,0.428,0.085,0.078,0.099,0.088,1.347,0.150,0.234,0.000
Klaten,0.000,0.192,0.630,0.405,1.017,-,2.462,0.089,0.116,0.673,0.094,0.367,0.026,0.481,0.596,0.073,0.420,0.039,0.580,0.121,0.334,0.427,0.132,0.325,0.296,0.106,0.084,0.037,0.060,1.150,0.188,0.387,0.000
Sukoharjo,0.000,0.172,0.963,0.442,0.790,-,3.907,0.194,0.274,0.677,0.128,0.227,0.036,0.504,0.657,0.063,0.527,0.033,0.541,0.047,0.352,0.454,0.085,0.316,0.406,0.086,0.205,0.040,0.076,1.466,0.160,0.680,-
Wonogiri,0.000,0.143,1.117,0.309,0.749,-,2.564,0.052,0.154,0.677,0.058,0.154,0.007,0.176,0.331,0.047,0.448,0.030,0.333,0.076,0.229,0.190,0.017,0.124,0.609,0.057,0.039,0.022,0.068,1.065,0.171,0.164,0.000
Karanganyar,0.000,0.187,0.930,0.271,0.731,-,2.357,0.086,0.098,0.596,0.119,0.438,0.034,0.436,0.437,0.055,0.476,0.051,0.546,0.081,0.292,0.254,0.059,0.265,0.145,0.082,0.093,0.042,0.103,1.339,0.179,0.202,-
Sragen,0.000,0.141,0.873,0.295,0.770,-,2.598,0.099,0.155,0.713,0.130,0.226,0.091,0.378,0.326,0.096,0.510,0.022,0.728,0.028,0.156,0.281,0.036,0.358,0.147,0.178,0.169,0.024,0.051,1.056,0.173,0.323,0.002
Grobogan,0.000,0.083,0.558,0.420,0.616,-,2.483,0.066,0.318,0.794,0.115,0.157,0.330,0.111,0.256,0.042,0.529,0.061,0.768,0.034,0.126,0.580,0.021,0.356,0.204,0.113,0.422,0.096,0.089,1.352,0.145,0.424,0.001
Blora,0.000,0.134,0.722,0.410,1.067,-,4.197,0.084,0.348,0.704,0.168,0.561,0.223,0.157,0.671,0.070,0.653,0.063,1.088,0.111,0.426,0.848,0.034,0.268,0.370,0.121,0.310,0.135,0.086,1.810,0.194,0.467,-
Rembang,0.000,0.121,0.877,0.388,1.463,-,4.196,0.086,0.156,0.803,0.137,0.563,0.132,0.119,0.656,0.048,0.582,0.041,1.153,0.349,0.268,0.813,0.018,0.198,0.559,0.167,0.327,0.102,0.091,1.693,0.208,0.420,0.005
Pati,0.000,0.184,0.970,0.378,1.788,-,3.728,0.161,0.265,0.870,0.163,0.423,0.296,0.206,0.522,0.059,0.512,0.063,0.752,0.399,0.261,0.661,0.060,0.350,0.371,0.237,0.321,0.072,0.156,1.637,0.217,0.555,-
Kudus,0.000,0.184,0.692,0.354,1.126,-,2.587,0.114,0.275,0.990,0.162,0.459,0.140,0.201,0.416,0.100,0.505,0.042,0.574,0.347,0.271,1.027,0.031,0.276,0.362,0.173,0.191,0.062,0.087,1.903,0.170,0.410,-
Jepara,0.000,0.057,0.872,0.389,1.325,-,3.236,0.096,0.346,0.841,0.142,0.196,0.172,0.260,0.343,0.043,0.713,0.052,0.705,0.355,0.243,0.986,0.025,0.295,0.273,0.092,0.117,0.082,0.148,2.098,0.221,0.388,0.000
Demak,0.000,0.248,1.315,0.385,1.087,-,4.134,0.146,0.470,0.476,0.159,0.129,0.121,0.296,0.388,0.074,0.721,0.072,0.790,0.196,0.137,0.579,0.045,0.400,0.299,0.118,0.457,0.138,0.095,1.436,0.253,0.461,-
Semarang,0.000,0.242,0.804,0.401,0.988,-,2.958,0.068,0.081,0.747,0.107,0.223,0.032,0.221,0.325,0.093,0.445,0.016,0.603,0.077,0.225,0.608,0.071,0.291,0.430,0.090,0.058,0.112,0.114,1.153,0.184,0.167,0.002
Temanggung,0.000,0.082,0.764,0.215,1.239,-,3.013,0.050,0.045,0.618,0.050,0.076,0.008,0.052,0.145,0.076,0.534,0.027,0.411,0.012,0.086,0.990,0.029,0.196,0.394,0.033,0.014,0.112,0.068,1.088,0.191,0.062,-
Kendal,0.000,0.187,0.880,0.373,0.722,-,2.322,0.082,0.089,0.666,0.128,0.271,0.042,0.140,0.404,0.068,0.546,0.040,0.602,0.144,0.248,0.766,0.062,0.497,0.315,0.154,0.137,0.089,0.101,1.250,0.191,0.450,-
Batang,0.000,0.154,1.062,0.343,1.292,-,5.586,0.132,0.217,1.204,0.095,0.097,0.030,0.169,0.376,0.043,0.654,0.016,1.020,0.378,0.219,0.845,0.081,0.381,0.210,0.067,0.021,0.132,0.080,1.326,0.192,0.387,-
Pekalongan,0.000,0.185,1.123,0.588,1.839,-,5.282,0.149,0.291,1.087,0.129,0.518,0.065,0.147,0.787,0.063,0.603,0.051,0.952,0.422,0.419,0.925,0.173,0.460,0.474,0.095,0.071,0.313,0.072,1.717,0.148,0.654,0.003
Pemalang,0.000,0.294,1.313,0.713,1.827,-,5.817,0.177,0.336,1.351,0.120,0.178,0.148,0.128,0.837,0.056,0.643,0.062,1.005,0.245,0.340,1.105,0.195,0.562,0.384,0.086,0.112,0.303,0.134,0.785,0.191,0.466,-
Tegal,0.000,0.252,0.955,0.547,1.521,-,4.310,0.155,0.133,1.770,0.110,0.161,0.230,0.126,1.023,0.076,0.616,0.047,1.015,0.227,0.294,0.899,0.238,0.653,0.315,0.100,0.128,0.142,0.111,0.759,0.249,0.578,-
Brebes,0.000,0.191,1.207,0.557,1.697,-,5.977,0.227,0.221,1.918,0.118,0.352,0.172,0.094,1.046,0.123,0.866,0.107,0.874,0.339,0.281,0.993,0.277,0.699,0.351,0.147,0.152,0.282,0.133,0.831,0.179,0.795,0.000
Kota Magelang,0.000,0.423,0.970,0.500,1.260,-,2.268,0.080,0.082,0.645,0.260,0.308,0.026,0.301,0.611,0.128,0.568,0.033,0.492,0.140,0.418,0.435,0.061,0.180,0.250,0.238,0.058,0.059,0.061,1.054,0.198,0.114,-
Kota Surakarta,0.000,0.649,1.138,0.493,1.207,-,3.689,0.172,0.275,0.902,0.200,0.736,0.067,0.579,0.768,0.123,0.546,0.064,0.655,0.145,0.491,0.559,0.127,0.196,0.387,0.257,0.316,0.053,0.114,1.747,0.200,0.491,-
Kota Salatiga,0.000,0.725,1.261,0.562,1.551,-,3.675,0.085,0.130,0.832,0.277,0.651,0.025,0.328,0.602,0.125,0.486,0.030,0.727,0.264,0.691,0.432,0.078,0.167,0.675,0.233,0.127,0.068,0.168,1.468,0.201,0.116,0.004
Kota Semarang,0.000,0.692,1.007,0.462,0.824,-,2.532,0.085,0.192,1.104,0.198,0.141,0.059,0.396,0.345,0.127,0.423,0.030,0.551,0.144,0.354,0.653,0.080,0.224,0.291,0.430,0.365,0.058,0.080,1.379,0.213,0.253,0.000
Kota Pekalongan,0.000,0.351,1.218,0.670,1.530,-,5.078,0.227,0.194,1.598,0.222,0.454,0.049,0.319,0.551,0.167,0.616,0.052,0.672,0.476,0.583,0.830,0.236,0.337,0.601,0.112,0.113,0.174,0.118,1.659,0.248,0.449,-
Kota Tegal,0.000,0.307,1.201,0.641,1.826,-,3.902,0.342,0.219,2.902,0.192,0.327,0.441,0.250,0.863,0.115,0.778,0.129,0.724,0.406,0.454,0.842,0.324,0.478,0.610,0.171,0.048,0.113,0.187,1.375,0.282,0.632,0.000
Kulon Progo,0.000,0.113,0.775,0.643,2.181,-,3.618,0.081,0.068,0.336,0.035,0.844,0.017,0.184,0.919,0.054,0.375,0.019,0.537,0.226,0.600,0.250,0.074,0.090,0.195,0.100,0.056,0.050,0.065,1.340,0.159,0.140,-
Bantul,0.000,0.365,0.992,0.523,1.817,-,3.229,0.095,0.122,0.860,0.130,0.405,0.049,0.343,0.618,0.177,0.572,0.022,0.761,0.305,0.718,0.330,0.124,0.281,0.496,0.145,0.149,0.097,0.192,1.356,0.244,0.416,0.001
Gunung Kidul,0.000,0.092,1.172,0.409,1.565,-,4.019,0.050,0.079,0.556,0.030,0.331,0.015,0.137,0.330,0.044,0.352,0.012,0.517,0.105,0.350,0.215,0.013,0.137,0.190,0.096,0.048,0.153,0.054,1.127,0.155,0.183,0.000
Sleman,0.000,0.540,1.454,0.942,2.833,-,3.861,0.116,0.162,0.519,0.175,1.305,0.034,0.398,1.241,0.162,0.602,0.043,1.026,0.554,1.096,0.477,0.153,0.169,0.272,0.231,0.143,0.086,0.120,1.592,0.279,0.300,0.002
Kota Yogyakarta,0.000,0.808,1.143,0.507,1.463,-,3.026,0.168,0.173,1.105,0.234,0.659,0.054,0.564,1.005,0.178,0.561,0.060,0.568,0.373,0.859,0.422,0.136,0.251,0.318,0.338,0.202,0.121,0.072,1.843,0.195,0.359,-
Pacitan,0.000,0.026,0.517,0.293,1.159,-,1.524,0.089,0.064,0.826,0.028,0.055,0.149,0.136,0.054,0.020,0.249,0.028,0.307,0.030,0.024,0.131,0.008,0.041,0.126,0.072,0.016,0.035,0.053,1.713,0.118,0.067,0.000
Ponorogo,0.000,0.201,1.002,0.394,1.313,-,3.236,0.086,0.455,0.421,0.126,0.376,0.030,0.257,0.322,0.086,0.485,0.044,0.381,0.051,0.222,0.274,0.027,0.088,0.296,0.044,0.111,0.093,0.100,1.774,0.136,0.303,-
Trenggalek,0.000,0.034,0.399,0.293,1.052,-,2.148,0.119,0.140,0.973,0.087,0.291,0.113,0.152,0.268,0.035,0.366,0.034,0.637,0.060,0.168,0.175,0.006,0.061,0.200,0.059,0.049,0.103,0.092,1.388,0.145,0.082,-
Tulungagung,0.000,0.191,0.726,0.343,1.329,-,1.735,0.118,0.417,0.333,0.242,0.293,0.205,0.231,0.382,0.116,0.644,0.061,0.589,0.075,0.252,0.309,0.026,0.082,0.171,0.084,0.086,0.214,0.084,1.341,0.174,0.274,-
Blitar,0.000,0.064,0.519,0.263,1.472,-,1.975,0.046,0.296,0.975,0.186,0.454,0.047,0.327,0.398,0.071,0.732,0.041,0.612,0.041,0.281,0.477,0.017,0.065,0.452,0.102,0.043,0.202,0.088,1.130,0.176,0.284,-
Kediri,0.000,0.125,0.515,0.388,1.174,-,2.511,0.096,0.336,0.578,0.216,0.383,0.123,0.216,0.290,0.068,0.693,0.116,0.901,0.021,0.141,0.551,0.018,0.174,0.286,0.086,0.064,0.110,0.093,1.256,0.181,0.327,-
Malang,0.000,0.219,0.492,0.400,1.070,-,1.763,0.031,0.166,0.537,0.172,0.229,0.055,0.331,0.179,0.062,0.827,0.047,0.713,0.048,0.132,0.573,0.017,0.071,0.328,0.107,0.043,0.153,0.078,1.090,0.280,0.143,0.000
Lumajang,0.000,0.253,0.644,0.276,1.156,-,1.614,0.101,0.354,0.275,0.243,0.514,0.173,0.295,0.148,0.091,0.659,0.070,0.806,0.147,0.168,0.233,0.034,0.102,0.335,0.132,0.030,0.128,0.106,1.143,0.159,0.167,-
Jember,0.000,0.144,0.684,0.324,1.318,-,2.234,0.034,0.264,0.406,0.144,0.555,0.114,0.292,0.251,0.065,0.716,0.068,0.876,0.103,0.257,0.953,0.011,0.058,0.646,0.141,0.063,0.141,0.167,1.061,0.241,0.465,0.000
Banyuwangi,0.000,0.179,0.981,0.278,1.577,-,2.320,0.081,0.308,0.230,0.202,0.755,0.143,0.321,0.394,0.099,0.675,0.052,0.751,0.175,0.304,0.573,0.033,0.061,0.708,0.218,0.126,0.288,0.139,0.879,0.241,0.356,0.001
Bondowoso,0.000,0.155,0.550,0.559,1.384,-,1.931,0.022,0.149,1.004,0.091,0.352,0.015,0.127,0.070,0.059,0.653,0.056,1.765,0.056,0.095,0.674,0.010,0.074,0.356,0.176,0.016,0.081,0.065,0.783,0.201,0.118,0.000
Situbondo,0.000,0.196,1.014,0.538,1.494,-,2.769,0.036,0.293,0.248,0.221,0.508,0.134,0.223,0.179,0.071,0.676,0.061,1.192,0.129,0.206,0.457,0.084,0.064,0.318,0.165,0.042,0.156,0.134,1.306,0.122,0.372,0.001
Probolinggo,0.000,0.136,0.654,0.463,0.864,-,1.724,0.011,0.130,0.368,0.131,0.308,0.055,0.176,0.067,0.075,0.656,0.041,1.001,0.092,0.099,0.459,0.009,0.051,0.578,0.092,0.052,0.137,0.128,1.220,0.210,0.459,-
Pasuruan,0.000,0.177,0.631,0.390,0.960,-,2.042,0.047,0.163,0.157,0.271,0.893,0.068,0.281,0.153,0.053,1.003,0.119,1.423,0.141,0.279,0.697,0.013,0.056,0.461,0.136,0.096,0.115,0.090,1.427,0.229,0.318,0.000
Sidoarjo,0.000,0.686,0.598,0.360,0.755,-,1.524,0.113,0.237,0.475,0.441,0.365,0.093,0.306,0.114,0.140,0.774,0.084,0.521,0.123,0.229,0.630,0.080,0.164,0.400,0.247,0.300,0.150,0.148,1.267,0.274,0.276,-
Mojokerto,0.000,0.350,0.725,0.653,1.317,-,2.503,0.063,0.194,0.434,0.348,0.270,0.072,0.363,0.142,0.066,0.827,0.079,0.971,0.161,0.192,0.531,0.021,0.083,0.726,0.194,0.182,0.147,0.118,1.161,0.290,0.450,0.000
Jombang,0.000,0.304,0.875,0.491,1.110,-,2.662,0.116,0.323,0.339,0.247,0.581,0.107,0.318,0.334,0.050,0.823,0.082,1.126,0.176,0.289,0.827,0.021,0.157,0.810,0.308,0.213,0.213,0.170,1.434,0.291,0.529,0.000
Nganjuk,0.000,0.147,0.469,0.326,0.786,-,2.627,0.064,0.396,0.364,0.191,0.654,0.109,0.120,0.430,0.066,0.699,0.062,1.068,0.061,0.208,0.711,0.016,0.114,0.601,0.081,0.136,0.136,0.097,1.335,0.223,0.397,0.000
Madiun,0.000,0.092,0.801,0.478,1.084,-,2.443,0.066,0.418,0.381,0.119,0.880,0.064,0.205,0.484,0.050,0.663,0.064,1.081,0.087,0.300,0.362,0.005,0.026,0.370,0.076,0.107,0.072,0.084,1.700,0.214,0.445,-
Magetan,0.000,0.054,0.685,0.459,1.006,-,2.987,0.075,0.436,0.388,0.103,0.596,0.102,0.225,0.371,0.034,0.591,0.019,0.637,0.053,0.261,0.334,0.028,0.059,0.586,0.099,0.062,0.055,0.070,1.603,0.136,0.351,0.001
Ngawi,0.000,0.114,0.944,0.287,1.384,-,3.798,0.147,0.472,0.408,0.132,0.364,0.167,0.223,0.334,0.057,0.673,0.076,0.707,0.036,0.186,0.768,0.058,0.076,0.549,0.099,0.132,0.099,0.095,1.574,0.181,0.619,0.000
Bojonegoro,0.000,0.252,0.547,0.286,1.099,-,3.203,0.053,0.260,0.353,0.248,0.404,0.327,0.155,0.334,0.064,0.698,0.041,0.582,0.114,0.166,0.599,0.013,0.153,0.568,0.086,0.243,0.118,0.095,1.288,0.206,0.687,-
Tuban,0.000,0.177,0.567,0.443,1.693,-,3.839,0.104,0.416,0.368,0.224,0.388,0.174,0.172,0.385,0.064,0.633,0.082,1.262,0.234,0.193,1.252,0.011,0.177,0.695,0.075,0.304,0.169,0.092,0.972,0.276,0.885,0.000
Lamongan,0.000,0.290,0.678,0.401,1.176,-,3.663,0.116,0.248,0.154,0.330,0.424,0.124,0.276,0.209,0.061,0.814,0.106,0.759,0.175,0.247,0.952,0.027,0.181,0.270,0.239,0.420,0.085,0.110,1.534,0.274,0.770,0.000
Gresik,0.000,0.356,0.773,0.526,1.097,-,3.166,0.108,0.281,0.350,0.346,0.314,0.122,0.230,0.125,0.111,0.919,0.086,0.819,0.195,0.195,1.201,0.076,0.260,0.360,0.357,0.473,0.192,0.193,1.866,0.245,0.638,0.001
Bangkalan,0.000,0.143,0.749,0.243,0.735,-,1.770,0.104,0.277,0.201,0.156,0.146,0.186,0.126,0.030,0.076,0.410,0.109,0.850,0.067,0.060,0.307,0.019,0.040,0.358,0.127,0.051,0.149,0.074,0.715,0.113,0.460,0.001
Sampang,0.000,0.069,0.763,0.134,0.594,-,1.870,0.016,0.194,0.406,0.101,0.039,0.191,0.067,0.006,0.035,0.266,0.029,0.679,0.010,0.017,0.487,0.006,0.030,1.573,0.280,0.048,0.130,0.222,0.556,0.142,0.195,-
Pamekasan,0.000,0.226,0.339,0.436,0.928,-,1.722,0.033,0.123,0.702,0.078,0.090,0.115,0.107,0.031,0.015,0.253,0.048,1.313,0.073,0.051,1.080,0.012,0.086,0.531,0.394,0.027,0.174,0.140,0.750,0.215,0.263,0.000
Sumenep,0.000,0.176,1.082,0.449,1.679,-,3.097,0.145,0.451,0.887,0.206,0.923,0.266,0.632,0.301,0.083,0.417,0.141,1.290,0.178,0.209,0.650,0.096,0.064,0.436,0.572,0.036,0.181,0.111,1.514,0.180,0.381,0.000
Kota Kediri,0.000,0.693,0.887,0.450,1.585,-,2.898,0.098,0.612,0.642,0.456,1.027,0.165,0.308,0.670,0.181,0.828,0.054,0.992,0.185,0.437,0.828,0.092,0.243,0.720,0.250,0.184,0.148,0.181,1.659,0.206,0.438,-
Kota Blitar,0.000,0.597,0.919,0.404,1.952,-,2.514,0.072,0.532,0.948,0.374,0.551,0.101,0.379,0.656,0.152,0.873,0.040,1.206,0.120,0.418,0.798,0.046,0.142,0.409,0.192,0.176,0.335,0.134,1.142,0.275,0.400,0.002
Kota Malang,0.000,0.678,0.584,0.373,1.065,-,1.661,0.047,0.178,0.551,0.288,0.564,0.035,0.317,0.265,0.153,0.818,0.038,0.554,0.124,0.372,0.244,0.064,0.104,0.399,0.207,0.173,0.146,0.140,0.926,0.161,0.174,0.001
Kota Probolinggo,0.000,0.373,0.671,0.371,1.130,-,1.991,0.054,0.234,0.337,0.263,0.428,0.062,0.213,0.117,0.147,0.692,0.022,0.529,0.165,0.239,0.503,0.023,0.138,0.598,0.133,0.203,0.181,0.081,0.828,0.218,0.550,0.001
Kota Pasuruan,0.000,0.498,0.693,0.460,1.203,-,1.841,0.046,0.242,0.558,0.417,0.404,0.075,0.259,0.191,0.148,1.151,0.064,1.020,0.223,0.219,0.875,0.058,0.102,0.590,0.187,0.261,0.103,0.072,1.233,0.229,0.872,0.000
Kota Mojokerto,0.000,0.468,0.751,0.403,1.096,-,2.266,0.059,0.306,0.607,0.421,0.579,0.051,0.364,0.343,0.145,0.774,0.020,0.684,0.179,0.342,0.808,0.056,0.107,0.376,0.147,0.423,0.143,0.084,0.881,0.250,0.318,0.001
Kota Madiun,0.000,0.597,1.266,0.389,1.677,-,2.733,0.192,0.842,0.744,0.257,0.786,0.090,0.359,0.572,0.147,0.756,0.057,0.846,0.177,0.547,0.437,0.116,0.176,0.492,0.320,0.409,0.199,0.204,1.429,0.248,0.505,0.003
Kota Surabaya,0.000,0.725,0.735,0.533,0.947,-,2.120,0.127,0.351,0.396,0.378,0.376,0.147,0.379,0.165,0.173,0.852,0.062,0.706,0.138,0.226,0.822,0.135,0.202,0.238,0.343,0.428,0.199,0.185,1.053,0.212,0.559,0.001
Kota Batu,0.000,0.349,0.706,0.297,0.961,-,1.388,0.094,0.164,0.511,0.296,0.388,0.028,0.404,0.271,0.139,0.931,0.036,0.828,0.073,0.255,0.371,0.048,0.154,0.155,0.125,0.061,0.121,0.105,1.379,0.217,0.136,-
Pandeglang,0.000,0.044,1.175,0.580,1.187,-,3.113,0.059,0.143,0.328,0.099,0.076,0.214,0.016,0.115,0.020,0.589,0.111,0.755,0.123,0.040,0.436,0.338,0.189,0.346,0.067,0.075,0.273,0.329,0.815,0.219,0.318,-
Lebak,0.000,0.131,1.627,0.640,1.025,-,3.423,0.075,0.187,0.383,0.171,0.276,0.108,0.021,0.151,0.031,0.788,0.277,1.068,0.139,0.100,0.328,0.322,0.075,0.495,0.129,0.042,0.244,0.470,1.160,0.172,0.465,0.000
Tangerang,0.000,0.374,1.237,0.351,1.187,-,3.138,0.249,0.352,0.995,0.231,0.166,0.438,0.102,0.251,0.112,0.655,0.130,0.601,0.177,0.286,0.746,0.541,0.430,0.366,0.323,0.353,0.163,0.240,0.788,0.268,0.682,-
Serang,0.000,0.153,1.493,0.403,0.744,-,3.365,0.097,0.164,0.761,0.124,0.064,0.273,0.026,0.068,0.031,0.734,0.113,0.763,0.065,0.085,0.420,0.233,0.354,0.296,0.219,0.225,0.175,0.229,0.797,0.255,0.551,0.000
Kota Tangerang,0.000,0.674,0.798,0.422,0.868,-,2.710,0.299,0.296,1.014,0.249,0.208,0.199,0.167,0.216,0.093,0.581,0.061,0.450,0.151,0.331,0.608,0.398,0.396,0.270,0.426,0.498,0.136,0.394,0.680,0.256,0.416,0.015
Kota Cilegon,0.000,0.898,1.429,0.678,1.246,-,3.340,0.331,0.233,0.655,0.255,0.046,0.330,0.098,0.141,0.178,0.763,0.041,0.822,0.083,0.167,0.963,0.348,0.639,0.552,0.285,0.482,0.168,0.300,0.989,0.256,0.329,-
Kota Serang,0.000,0.450,1.338,0.467,0.933,-,4.147,0.154,0.202,1.264,0.261,0.225,0.204,0.079,0.101,0.069,0.840,0.109,0.846,0.102,0.116,0.649,0.499,0.504,0.611,0.282,0.371,0.202,0.181,0.902,0.272,1.422,0.001
Kota Tangerang Selatan,0.000,1.115,0.983,0.401,0.847,-,1.933,0.254,0.272,0.517,0.285,0.178,0.199,0.209,0.197,0.091,0.502,0.065,0.606,0.117,0.283,0.512,0.493,0.344,0.174,0.310,0.373,0.253,0.175,0.605,0.279,0.361,0.001
Jembrana,0.000,0.235,1.463,0.570,2.009,-,1.585,0.068,0.106,0.817,0.086,0.031,0.298,0.095,0.244,0.079,0.419,0.022,1.337,0.063,0.153,0.610,0.014,0.016,0.121,0.176,0.155,0.184,0.291,0.444,0.271,0.803,0.012
Tabanan,0.000,0.426,1.077,0.386,2.204,-,1.872,0.146,0.116,0.510,0.171,0.043,0.194,0.093,0.081,0.109,0.417,0.082,1.224,0.047,0.154,0.457,0.293,0.015,0.253,0.175,0.176,0.442,0.271,0.671,0.223,0.310,0.003
Badung,0.000,0.743,1.428,0.290,1.978,-,1.917,0.286,0.145,1.052,0.322,0.147,0.225,0.200,0.159,0.256,0.662,0.034,0.553,0.089,0.241,0.452,0.302,0.080,0.321,0.318,0.326,0.374,0.211,0.732,0.295,0.540,0.008
Gianyar,0.000,0.407,1.575,0.421,2.220,-,1.985,0.383,0.327,0.732,0.256,0.116,0.147,0.152,0.206,0.156,0.598,0.112,0.884,0.027,0.218,0.548,0.392,0.053,0.297,0.241,0.090,0.299,0.338,0.660,0.268,0.526,0.005
Klungkung,0.000,0.141,0.700,0.350,1.830,-,1.003,0.086,0.153,0.521,0.072,0.058,0.258,0.032,0.189,0.089,0.440,0.023,0.793,0.028,0.076,0.225,0.345,0.007,0.269,0.132,0.073,0.118,0.085,0.448,0.147,0.355,0.013
Bangli,0.000,0.226,1.214,0.400,2.048,-,1.731,0.236,0.158,0.623,0.081,0.022,0.250,0.156,0.058,0.079,0.411,0.032,0.846,0.007,0.061,0.462,0.209,0.009,0.064,0.182,0.039,0.247,0.393,0.822,0.171,0.203,0.001
Karangasem,0.000,0.115,1.595,0.313,2.212,-,1.026,0.047,0.350,0.512,0.044,0.022,0.086,0.045,0.101,0.075,0.401,0.015,0.827,0.036,0.053,0.193,0.016,0.001,0.189,0.130,0.027,0.226,0.198,0.643,0.170,0.156,0.051
Buleleng,0.000,0.315,1.534,0.373,1.931,-,1.713,0.072,0.108,0.634,0.087,0.022,0.231,0.091,0.065,0.070,0.528,0.030,0.837,0.015,0.130,0.487,0.047,0.007,0.411,0.298,0.066,0.334,0.306,0.850,0.193,0.589,0.050
Kota Denpasar,0.000,0.765,1.482,0.537,2.871,-,1.974,0.284,0.107,1.399,0.293,0.259,0.085,0.217,0.206,0.223,0.612,0.053,0.613,0.128,0.266,0.457,0.211,0.104,0.334,0.468,0.507,0.313,0.234,0.488,0.251,0.526,0.002
Lombok Barat,0.000,0.261,2.435,0.576,1.969,-,3.214,0.030,0.220,1.097,0.077,0.311,0.073,0.097,0.361,0.060,0.384,0.220,1.776,0.130,0.256,0.808,0.004,0.015,2.202,0.486,0.142,0.531,0.242,1.315,0.382,1.641,0.009
Lombok Tengah,0.000,0.212,1.713,0.555,1.459,-,2.995,0.050,0.252,1.136,0.031,0.751,0.131,0.119,0.921,0.053,0.263,0.107,1.291,0.200,0.409,0.901,0.007,0.046,1.911,0.455,0.118,0.466,0.792,1.531,0.277,0.679,0.001
Lombok Timur,0.000,0.529,2.581,0.950,2.389,-,4.031,0.069,0.228,0.984,0.061,0.556,0.126,0.258,0.700,0.065,0.334,0.079,1.842,0.174,0.320,3.405,0.009,0.111,0.626,0.260,0.066,0.466,1.047,1.409,0.387,0.776,0.000
Sumbawa,0.000,0.445,1.582,0.525,1.815,-,2.369,0.048,0.273,0.756,0.079,0.141,0.037,0.106,0.183,0.061,0.450,0.071,0.927,0.158,0.129,0.693,0.018,0.033,0.910,0.526,0.262,0.527,0.417,0.924,0.198,0.157,0.001
Dompu,0.000,0.107,1.315,0.520,2.103,-,3.284,0.086,0.135,0.382,0.083,0.057,0.010,0.047,0.167,0.007,0.484,0.171,1.011,0.172,0.040,2.312,0.007,0.065,0.929,0.161,0.100,0.723,0.631,0.445,0.222,0.150,0.000
